Date,Open,High,Low,Close,Adj Close,Volume
2022-04-13,46.625900,46.625900,46.625900,46.625900,46.625900,0
2022-04-18,46.178699,46.178699,46.178699,46.178699,46.178699,0
2022-04-19,45.859200,45.859200,45.859200,45.859200,45.859200,0
2022-04-20,46.202099,46.202099,46.202099,46.202099,46.202099,0
2022-04-21,46.581100,46.581100,46.581100,46.581100,46.581100,0
2022-04-22,46.228001,46.228001,46.228001,46.228001,46.228001,0
2022-04-25,45.682701,45.682701,45.682701,45.682701,45.682701,0
2022-04-26,46.171299,46.171299,46.171299,46.171299,46.171299,0
2022-04-27,45.875401,45.875401,45.875401,45.875401,45.875401,0
2022-04-28,46.207199,46.207199,46.207199,46.207199,46.207199,0
2022-04-29,45.978100,45.978100,45.978100,45.978100,45.978100,0
2022-05-02,45.857101,45.857101,45.857101,45.857101,45.857101,0
2022-05-04,45.173801,45.173801,45.173801,45.173801,45.173801,0
2022-05-05,45.287201,45.287201,45.287201,45.287201,45.287201,0
2022-05-06,44.622799,44.622799,44.622799,44.622799,44.622799,0
2022-05-09,44.263901,44.263901,44.263901,44.263901,44.263901,0
2022-05-10,43.737499,43.737499,43.737499,43.737499,43.737499,0
2022-05-11,43.397598,43.397598,43.397598,43.397598,43.397598,0
2022-05-12,42.735001,42.735001,42.735001,42.735001,42.735001,0
2022-05-13,42.798901,42.798901,42.798901,42.798901,42.798901,0
2022-05-16,43.054298,43.054298,43.054298,43.054298,43.054298,0
2022-05-17,43.792400,43.792400,43.792400,43.792400,43.792400,0
2022-05-18,43.862999,43.862999,43.862999,43.862999,43.862999,0
2022-05-19,43.125000,43.125000,43.125000,43.125000,43.125000,0
2022-05-20,43.933201,43.933201,43.933201,43.933201,43.933201,0
2022-05-23,43.852100,43.852100,43.852100,43.852100,43.852100,0
2022-05-24,43.565498,43.565498,43.565498,43.565498,43.565498,0
2022-05-25,43.145901,43.145901,43.145901,43.145901,43.145901,0
2022-05-26,43.616798,43.616798,43.616798,43.616798,43.616798,0
2022-05-27,43.823101,43.823101,43.823101,43.823101,43.823101,0
2022-05-30,44.408100,44.408100,44.408100,44.408100,44.408100,0
2022-05-31,44.499100,44.499100,44.499100,44.499100,44.499100,0
2022-06-01,44.542900,44.542900,44.542900,44.542900,44.542900,0
2022-06-02,44.620300,44.620300,44.620300,44.620300,44.620300,0
2022-06-03,44.451599,44.451599,44.451599,44.451599,44.451599,0
2022-06-06,44.381001,44.381001,44.381001,44.381001,44.381001,0
2022-06-07,44.161098,44.161098,44.161098,44.161098,44.161098,0
2022-06-08,44.181801,44.181801,44.181801,44.181801,44.181801,0
2022-06-09,44.233101,44.233101,44.233101,44.233101,44.233101,0
2022-06-10,43.948200,43.948200,43.948200,43.948200,43.948200,0
2022-06-13,43.000702,43.000702,43.000702,43.000702,43.000702,0
2022-06-14,42.966900,42.966900,42.966900,42.966900,42.966900,0
2022-06-15,43.000198,43.000198,43.000198,43.000198,43.000198,0
2022-06-16,42.283001,42.283001,42.283001,42.283001,42.283001,0
2022-06-17,42.078098,42.078098,42.078098,42.078098,42.078098,0
2022-06-20,41.776699,41.776699,41.776699,41.776699,41.776699,0
